"Key","English, en-US","Polish, pl"
"hello","Hello","Cześć"
"goodbye","Goodbye","Do widzenia"
"thanks","Thanks","Dziękuję"
"LogIn","Log In","Załoguj"
"home","Home","Strona domowa"
"gallery","Gallery","Galeria"
"movies","Movies","Video"
"about","About","O nas"
"login_text","Login","Logowanie"
"login_btn","Login","Załoguj"
"username_login","Username","Nazwa użytkownika"
"password_login","Password","Hasło"
"go_to_homepage","Go to homepage","Na stronę domową"
"SignUp","Sign up","Założ konto"
"signup_text","Sign up","Załóż konto"
"signup_btn","Sign up","Załóż konto"
"name_signup","Name","Imię"
"username_signup","Username","Nazwa użytkownila"
"password_signup","Password","Hasło"
"repeat_password_signup","Repeat password","Powtórz hasło"
"already_have_an_account","Already have an account?","Już posiadasz konto?"
"welcome","Welcome","Witaj"
"price_select","Price","Cena"
"find_select","Find","Wyszukaj"
"tab_ALL","All","Wszystkie"
"tab_Bestsellers","Bestsellers","Bestsellery"
"tab_Specials","Specials","Promocje"
"tab_Recommended","Recommended","Rekomendowane"
"logout_btn","Logout","Wyłoguj"
"description","Description:","Opis:"
"allergy_info","Allergy Info","Informacje alergiczne"
"production_cost","Production Cost:","Koszt produkcji:"
"price","Price:","Cena:"
"add_item_btn","Add Item","Dodaj"
"remove_item_btn","Remove Item","Usuń"
"cart","Cart","Koszyk"
"empty_cart","Your cart is currently empty","Twój koszyk na razie pusty"
"summary","Summary","Podsumowanie"
"shipping","Shipping","Dostawa"
"subtotal","Subtotal","Razem"
"checkout_btn","Checkout","Zamów"
"clear_cart_btn","Clear cart","Wyczyść koszyk"
"deleting_confirmation","Are you sure, you want delete this product?","Czy na pewno chcesz usunąć ten produkt?"
"cancel_btn","Cancel","Anuluj"
"orders","Orders","Zamówienia"
"f_privacy_policy","Privacy policy","Polityka prywatności"
"f_contact_us","Contact Us","Kontakt"
"f_contact_number","Contact number","Numer kontaktowy"
"admin_reports","Reports","Raporty"
"admin_all_orders","All Orders","Wszystkie Zamówienia"
"admin_orders_list","Orders List","Lista Zamówień"
"admin_client_name","Client","Klient"
"january","January","Styczeń"
"february","February","Luty"
"march","March","Marzec"
"april","April","Kwiecień"
"may","May","Maj"
"june","June","Czerwiec"
"july","July","Lipiec"
"august","August","Sierpień"
"september","September","Wrzesień"
"october","October","Pażdziernik"
"november","November","Lisopad"
"december","December","Grudzień"
